available,block_hash,block_number,broker_address,chain_id,direction,implementation_address,implementation_code_hash,input_amount,input_asset,kind,lp_amount,output_amount,output_asset,post_spot_balance,post_usd_balance,protocol_fee_amount,sale_available,sale_output_amount,sale_protocol_fee_amount,sale_unavailable_reason,spot_balance,spot_out,spot_price,unavailable_reason,usd_balance,usd_out,usd_price
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,316200000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,67059219,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,562300000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,119131466,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1000000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,211489312,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1778000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,374869920,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,3162000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,663155603,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,5623000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,1168952208,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,0,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,10000000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,2049911363,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,1925373,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,17780000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,3590619823,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,8835570,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
false,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,31620000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,,,,,,49765106975452,,206916508416523960,contract-reverted,18937258593,,1000000000000000000
false,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,spot-to-usd,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,56230000000000,0xC1f33e0cf7e40a67375007104B929E49a581bafE,swap-quote,,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,,,,,,49765106975452,,206916508416523960,contract-reverted,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,4289477356,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,54338965,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1778000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,7626577240,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,96625976,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,3162000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,13562768310,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,171875669,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
